tract_geoid,lon,lat,capacity,vacant
42101003100,-75.175446,39.931514,0.0,1
42101006600,-75.228887,39.933353,1.0,0
42101002702,-75.150704,39.928873,1.0,0
42101033000,-75.037819,40.035047,1.0,0
42101039002,-75.091173,40.033246,1.0,0
42101021700,-75.219889,40.042523,1.0,0
42101023600,-75.195288,40.047185,2.0,0
42101024900,-75.158448,40.049367,0.0,1
42101023700,-75.186209,40.050247,1.0,0
42101038800,-75.194752,40.05281,0.0,1
42101002702,-75.147579,39.926937,1.0,0
42101021700,-75.231062,40.048014,1.0,0
42101031000,-75.081054,40.048432,1.0,0
42101025200,-75.171631,40.046438,0.0,1
42101027700,-75.152885,40.049488,1.0,0
42101025200,-75.172174,40.047589,1.0,0
42101003701,-75.183109,39.927764,1.0,0
42101030501,-75.09839,40.044578,1.0,0
42101024700,-75.160102,40.046879,1.0,0
42101020300,-75.148011,40.017516,26.0,0
42101024600,-75.17059,40.035576,0.0,1
42101032500,-75.045791,40.028108,0.0,1
42101002900,-75.167615,39.932013,2.0,0
42101002802,-75.158424,39.931333,1.0,0
42101002802,-75.161424,39.92764,1.0,0
42101003600,-75.196976,39.934037,1.0,0
42101002400,-75.156189,39.93316,1.0,0
42101007000,-75.225018,39.934657,1.0,0
42101038900,-75.174633,40.051747,1.0,0
42101023700,-75.189786,40.052612,1.0,0
42101027100,-75.127937,40.046877,2.0,0
42101027100,-75.124876,40.047013,1.0,0
42101003300,-75.193208,39.933776,1.0,0
42101030502,-75.104136,40.045119,1.0,0
42101024900,-75.158175,40.047776,1.0,0
42101021900,-75.244112,40.048451,2.0,0
42101003200,-75.188717,39.932487,0.0,1
42101027700,-75.15153,40.048836,1.0,0
42101033102,-75.030269,40.043622,1.0,0
42101002801,-75.158248,39.92902,1.0,0
42101027200,-75.122353,40.04504,1.0,0
42101003100,-75.174764,39.933334,1.0,0
42101031401,-75.066281,40.049235,1.0,0
42101031402,-75.059771,40.045807,1.0,0
42101034900,-75.014772,40.044731,1.0,0
42101027100,-75.124332,40.050238,1.0,0
42101027402,-75.125953,40.045137,2.0,0
42101027700,-75.152202,40.05046,0.0,1
42101032600,-75.039384,40.031559,1.0,0
42101027401,-75.12919,40.03868,1.0,0
42101031501,-75.052515,40.033473,1.0,0
42101033701,-75.049833,40.064654,2.0,0
42101039100,-75.217262,39.929775,0.0,1
42101000200,-75.159855,39.956667,8.0,0
42101027700,-75.149543,40.049394,1.0,0
42101024900,-75.158186,40.048033,0.0,1
42101027901,-75.152153,40.046605,0.0,1
42101031401,-75.067399,40.046399,1.0,0
42101031402,-75.060874,40.04677,1.0,0
42101025300,-75.183477,40.049526,1.0,0
42101035100,-74.990652,40.047268,2.0,0
42101027901,-75.153313,40.04837,0.0,1
42101033200,-75.045981,40.044146,1.0,0
42101031501,-75.050395,40.033608,1.0,0
42101021500,-75.227334,40.03688,0.0,1
42101024800,-75.166197,40.046694,1.0,0
42101027100,-75.124369,40.045306,1.0,0
42101031102,-75.085948,40.037677,1.0,0
42101033101,-75.036048,40.043271,1.0,0
42101031501,-75.051581,40.035725,1.0,0
42101003001,-75.174847,39.928293,1.0,0
42101002900,-75.163783,39.930552,1.0,0
42101031000,-75.075628,40.048209,1.0,0
42101003901,-75.172791,39.927058,0.0,1
42101025200,-75.173471,40.047077,1.0,0
42101027800,-75.149723,40.045818,1.0,0
42101003001,-75.171275,39.929321,1.0,0
42101003701,-75.179951,39.928745,1.0,1
42101002802,-75.162971,39.92864,1.0,0
42101035100,-74.992451,40.045626,1.0,0
42101033200,-75.049128,40.04642,1.0,0
42101027700,-75.147666,40.049292,1.0,0
42101025300,-75.183732,40.050494,1.0,0
42101025300,-75.183472,40.053241,0.0,1
42101027100,-75.123505,40.046405,1.0,0
42101023700,-75.187313,40.047385,1.0,0
42101003001,-75.174789,39.929335,1.0,0
42101035100,-74.993033,40.045639,1.0,0
42101031402,-75.058904,40.044055,1.0,0
42101023700,-75.191257,40.053412,1.0,0
42101034900,-75.011013,40.044066,1.0,0
42101033102,-75.023857,40.043204,2.0,0
42101033102,-75.032143,40.045138,1.0,0
42101038800,-75.193539,40.053445,1.0,0
42101003901,-75.173759,39.925095,2.0,0
42101031401,-75.067946,40.046914,1.0,0
42101030900,-75.082084,40.04459,1.0,0
42101030600,-75.094534,40.051066,5.0,0
42101033101,-75.035337,40.043493,1.0,0
42101034803,-75.009158,40.06427,1.0,0
42101007000,-75.223284,39.934323,1.0,0
42101038900,-75.166763,40.048978,0.0,1
42101027901,-75.155338,40.045212,1.0,0
42101003002,-75.171837,39.934191,1.0,0
42101003300,-75.193375,39.934356,1.0,0
42101003200,-75.182492,39.930883,1.0,0
42101003300,-75.196742,39.934755,1.0,0
42101021500,-75.225919,40.034729,2.0,0
42101027000,-75.129777,40.050331,1.0,0
42101027700,-75.149268,40.049149,1.0,0
42101003100,-75.174813,39.931945,1.0,0
42101031401,-75.070695,40.044976,1.0,0
42101007000,-75.223072,39.935288,2.0,0
42101025200,-75.175178,40.049104,2.0,0
42101023700,-75.184556,40.046614,1.0,0
42101031000,-75.074528,40.04578,1.0,0
42101025400,-75.174621,40.064259,1.0,0
42101033200,-75.047692,40.043292,1.0,0
42101038800,-75.196512,40.049602,1.0,0
42101030600,-75.094799,40.046996,1.0,0
42101021800,-75.233828,40.052614,1.0,0
42101002702,-75.150305,39.931568,0.0,1
42101027200,-75.121354,40.050114,1.0,0
42101003701,-75.183092,39.929514,1.0,0
42101003200,-75.18855,39.932883,0.0,1
42101021700,-75.226747,40.050748,1.0,0
42101025200,-75.173317,40.050173,0.0,1
42101024700,-75.163771,40.045946,1.0,0
42101027402,-75.122349,40.044651,1.0,0
42101021900,-75.236363,40.050634,0.0,1
42101031402,-75.058166,40.045697,1.0,0
42101027000,-75.137299,40.047959,1.0,0
42101034900,-75.011333,40.047837,2.0,0
42101024800,-75.163654,40.049376,1.0,0
42101031402,-75.059057,40.043776,1.0,0
42101003200,-75.185241,39.933512,1.0,0
42101021600,-75.236983,40.047715,1.0,0
42101027600,-75.138611,40.044453,1.0,0
42101025200,-75.171962,40.046123,0.0,1
42101002500,-75.153065,39.933399,1.0,0
42101027700,-75.151031,40.049093,0.0,1
42101024700,-75.158396,40.045847,0.0,1
42101030600,-75.093661,40.046747,1.0,0
