opa_row_id,parcel_number,location,unit,BUILDING_ID,match_method,match_distance_ft,opa_residential,opa_commercial,opa_vacant,units_exact_record,units_min_record,unit_record_method
0,521195100,4428 SHERWOOD RD,,1388831,within,0.0,1,0,0,1.0,1,single_family_1
1,122164500,5644 HEISKELL ST,,1104827,within,0.0,1,0,0,1.0,1,single_family_1
2,621573800,6337 CARDIFF ST,,1257265,within,0.0,1,0,0,1.0,1,single_family_1
3,406299600,7015 W PASSYUNK AVE,,1538949,within,0.0,1,0,0,1.0,1,single_family_1
4,23170110,811 KATER ST,,1457113,within,0.0,1,0,0,1.0,1,single_family_1
5,562342600,8354 SUMMERDALE AVE,,1231232,within,0.0,1,0,0,1.0,1,single_family_1
6,591086900,861 E PRICE ST,,1090856,within,0.0,1,0,0,1.0,1,single_family_1
7,632132200,806 CHARETTE RD,,1281573,within,0.0,1,0,0,1.0,1,single_family_1
8,462091200,5029 CATHARINE ST,,1518390,within,0.0,1,0,0,,2,multifamily_unknown
9,421422600,5032 BOUDINOT ST,,1182639,within,0.0,1,0,0,1.0,1,single_family_1
10,871583650,6003 N 5TH ST,,1134849,within,0.0,1,1,0,,1,residential_unknown
11,571171400,8916 FAIRFIELD ST,,1313253,within,0.0,1,0,0,1.0,1,single_family_1
12,502374500,939 DORSET ST,,1147910,within,0.0,1,0,0,1.0,1,single_family_1
13,652292200,9242 DITMAN ST,,1240518,within,0.0,1,0,0,1.0,1,single_family_1
14,611141600,6102 N MARSHALL ST,,1142475,within,0.0,1,0,0,1.0,1,single_family_1
15,172016925,6155 OLD YORK RD,,1121268,within,0.0,1,0,0,,2,multifamily_unknown
16,341214700,315 N 62ND ST,,1445143,within,0.0,1,0,0,1.0,1,single_family_1
17,532251100,1108 BRIGHTON ST,,1395717,within,0.0,1,0,0,1.0,1,single_family_1
18,511199900,1150 S 52ND ST,,1504481,within,0.0,1,0,0,1.0,1,single_family_1
19,881146137,1439 N 15TH ST,,1497829,within,0.0,1,0,0,,5,apartment_gt4_unknown
20,292082200,1442 N MARSTON ST,,1009449,within,0.0,1,0,0,1.0,1,single_family_1
21,191122500,2131 N 2ND ST,,1054364,within,0.0,1,0,0,1.0,1,single_family_1
22,162043200,2223 N GRATZ ST,,1525291,within,0.0,1,0,0,1.0,1,single_family_1
23,252125300,2248 E MONMOUTH ST,,1030077,within,0.0,1,0,0,1.0,1,single_family_1
24,365053200,1250 S 15TH ST,,1375750,within,0.0,1,0,0,,2,multifamily_unknown
25,365085000,1710 S HICKS ST,,1537349,within,0.0,1,0,0,1.0,1,single_family_1
27,311181700,2664 MARTHA ST,,1031216,within,0.0,1,0,0,1.0,1,single_family_1
28,71109000,2852 MASCHER ST,,1051374,within,0.0,1,0,0,1.0,1,single_family_1
29,394157300,1936 S WARNOCK ST,,1508984,within,0.0,1,0,0,1.0,1,single_family_1
