TRACT_GEOID,NAME,pop_total,housing,hh_occ,owner_occ,renter_occ,hh_pop,own_hhpop,rnt_hhpop,avg_hh,avg_own_hh,avg_rnt_hh,med_hh_inc,pov_univ,pov_below,race_total,white_nh,black_nh,asian_nh,hispanic,workers,drv_alone,pub_trans,bicycle,walked,wfh,veh_hh,no_vehicle,sch_univ,pop25plus,hs_grad,bachelors,masters,prof_deg,doctorate,labor_frc,employed,unemployed,hins_univ,dis_univ,lang_univ,inet_univ,med_rent,med_value,m_under5,m_5_9,m_10_14,m_15_17,f_under5,f_5_9,f_10_14,f_15_17,m_65_66,m_67_69,m_70_74,m_75_79,m_80_84,m_85plus,f_65_66,f_67_69,f_70_74,f_75_79,f_80_84,f_85plus,k12_enr,under18,age65plus,vac_units,occ_rate,vac_rate,owner_pct,renter_pct,gq_pop,gq_pct,pov_rate,no_veh_pct
42101001700,Census Tract 17; Philadelphia County; Pennsylvania,3060,1603,1423,934,489,3055,2188,867,2.15,2.34,1.77,148942.0,3060,72,3060,1935,179,127,164,1762,572,180,88,168,614,1423,310,2905,2236,78,656,579,359,215,1797,1756,22,3041,3041,2850,1423,1864.0,668700.0,168,166,148,6,42,153,50,18,10,29,36,9,0,28,30,31,67,9,38,7,514,751,294,180,0.8877105427323768,0.11228945726762321,0.6563598032326071,0.3436401967673928,5,0.0016339869281045752,0.023529411764705882,0.21784961349262122
42101002500,Census Tract 25; Philadelphia County; Pennsylvania,4330,2101,2048,1150,898,4309,2551,1758,2.1,2.22,1.96,90106.0,4316,875,4330,2788,769,258,375,2099,677,258,33,267,796,2048,647,4125,3171,239,1183,525,231,165,2387,2171,216,4326,4326,4053,2048,1195.0,588400.0,138,286,141,66,139,90,87,48,66,12,21,67,30,36,10,48,72,124,193,32,648,995,711,53,0.9747739171822941,0.025226082817705855,0.5615234375,0.4384765625,21,0.004849884526558892,0.20273401297497684,0.31591796875
42101006100,Census Tract 61; Philadelphia County; Pennsylvania,2975,1208,1182,983,199,2970,2345,625,2.51,2.39,3.14,54246.0,2975,474,2975,251,1796,492,302,1207,898,224,0,0,0,1182,3,2767,1910,648,282,17,0,0,1352,1258,94,2975,2975,2709,1182,1454.0,168200.0,111,61,115,65,155,133,90,136,31,17,52,17,14,0,10,81,28,91,0,23,541,866,364,26,0.9784768211920529,0.02152317880794702,0.8316412859560067,0.16835871404399322,5,0.0016806722689075631,0.15932773109243697,0.0025380710659898475
42101007700,Census Tract 77; Philadelphia County; Pennsylvania,1734,911,849,102,747,1335,273,1062,1.57,2.68,1.42,48021.0,1341,268,1734,820,461,238,91,1074,295,184,5,329,206,849,416,1728,1135,112,442,242,3,75,1123,1078,45,1734,1734,1728,849,1252.0,294000.0,6,10,14,7,0,6,27,0,9,19,2,21,0,0,25,0,15,0,0,0,58,70,91,62,0.9319429198682766,0.06805708013172337,0.12014134275618374,0.8798586572438163,399,0.2301038062283737,0.19985085756897839,0.48998822143698467
42101009200,Census Tract 92; Philadelphia County; Pennsylvania,3255,1764,1408,483,925,3244,1118,2126,2.3,2.31,2.3,64250.0,3255,762,3255,709,1683,518,206,1760,424,560,36,179,274,1408,479,3241,2306,396,484,357,89,40,1946,1805,141,3255,3255,3241,1408,1344.0,308700.0,14,295,117,0,0,0,59,36,45,47,18,27,0,0,46,0,26,59,0,11,524,521,279,356,0.7981859410430839,0.2018140589569161,0.3430397727272727,0.6569602272727273,11,0.003379416282642089,0.23410138248847925,0.34019886363636365
42101011300,Census Tract 113; Philadelphia County; Pennsylvania,3793,1627,1472,1066,406,3793,2196,1597,2.58,2.06,3.93,46489.0,3793,1420,3793,31,3638,0,43,1247,771,196,0,54,210,1472,332,3486,2073,764,335,145,0,23,1381,1263,118,3793,3793,3105,1472,1562.0,136900.0,174,43,145,41,514,141,226,118,127,82,64,4,37,13,0,83,89,28,33,65,624,1402,625,155,0.9047326367547633,0.09526736324523663,0.7241847826086957,0.2758152173913043,0,0.0,0.3743738465594516,0.22554347826086957
42101011500,Census Tract 115; Philadelphia County; Pennsylvania,4766,1977,1833,1438,395,4763,3820,943,2.6,2.66,2.39,79443.0,4766,786,4766,383,3940,0,122,2354,1472,471,18,42,243,1833,340,4541,3293,956,608,294,38,0,2601,2410,191,4766,4766,4420,1833,1118.0,184800.0,211,206,62,79,135,285,168,92,80,117,72,78,0,1,147,61,170,7,33,1,766,1238,767,144,0.9271623672230652,0.07283763277693475,0.784506273867976,0.215493726132024,3,0.000629458665547629,0.1649181703734788,0.1854882705946536
42101013200,Census Tract 132; Philadelphia County; Pennsylvania,3765,1985,1892,352,1540,3505,691,2814,1.85,1.96,1.83,60750.0,3529,944,3765,1224,1499,331,545,1790,472,585,22,207,300,1892,871,3613,2874,603,832,178,165,106,1959,1819,140,3571,3571,3530,1892,1210.0,415700.0,45,7,68,101,190,0,150,0,0,27,71,30,5,59,49,22,42,47,98,24,339,561,474,93,0.9531486146095718,0.04685138539042821,0.18604651162790697,0.813953488372093,260,0.06905710491367861,0.2674978747520544,0.46035940803382663
42101014000,Census Tract 140; Philadelphia County; Pennsylvania,6065,3096,2760,545,2215,5918,1272,4646,2.14,2.33,2.1,49754.0,6011,2003,6065,1850,2589,701,400,3253,1042,884,213,261,741,2760,1243,5970,3249,719,786,662,169,33,3769,3546,223,6065,6065,5916,2760,1304.0,289100.0,95,320,262,91,54,64,188,266,74,22,0,0,32,0,0,22,26,55,0,60,1245,1340,291,336,0.8914728682170543,0.10852713178294573,0.19746376811594202,0.802536231884058,147,0.02423742786479802,0.33322242555315257,0.4503623188405797
42101016500,Census Tract 165; Philadelphia County; Pennsylvania,1907,1310,1035,405,630,1901,674,1227,1.84,1.66,1.95,17875.0,1907,920,1907,82,1219,43,509,698,348,152,0,0,154,1035,506,1907,1515,464,147,0,0,0,926,698,228,1907,1907,1889,1035,1432.0,105200.0,0,18,18,0,18,17,16,0,45,0,12,0,0,85,10,72,0,0,34,0,119,87,258,275,0.7900763358778626,0.2099236641221374,0.391304347826087,0.6086956521739131,6,0.003146303093864709,0.4824331410592554,0.4888888888888889
42101018300,Census Tract 183; Philadelphia County; Pennsylvania,4282,1714,1636,1528,108,4274,4058,216,2.61,2.66,2.0,93393.0,4282,356,4282,3689,3,29,479,1890,966,166,0,106,348,1636,288,3932,3159,935,500,356,77,10,2164,1967,197,4282,4282,3893,1636,1195.0,241200.0,117,41,125,15,272,84,146,76,65,100,156,10,9,0,25,29,51,67,67,56,508,876,635,78,0.9544924154025671,0.045507584597432905,0.9339853300733496,0.06601466992665037,8,0.0018682858477347033,0.0831387202241943,0.17603911980440098
42101019700,Census Tract 197; Philadelphia County; Pennsylvania,7050,2287,2145,1172,973,7050,4146,2904,3.29,3.54,2.98,40274.0,7050,3340,7050,39,943,201,5840,2042,330,401,0,99,515,2145,1012,6676,3973,1372,183,0,0,0,2614,2065,549,7050,7050,6418,2145,1297.0,109900.0,373,613,187,79,259,340,332,90,28,34,73,0,0,29,59,50,145,51,27,24,1637,2273,520,142,0.9379099256668124,0.062090074333187584,0.5463869463869464,0.4536130536130536,0,0.0,0.47375886524822697,0.4717948717948718
42101038700,Census Tract 387; Philadelphia County; Pennsylvania,2370,895,843,647,196,1702,1313,389,2.02,2.03,1.98,132721.0,1792,165,2370,1729,212,165,155,1023,353,99,0,169,324,843,103,2350,1611,54,415,474,281,148,1130,1074,56,2252,2252,2339,843,1840.0,667100.0,13,39,56,17,18,46,38,17,33,16,36,49,34,48,71,128,118,123,65,62,212,244,783,52,0.9418994413407821,0.05810055865921788,0.767497034400949,0.232502965599051,668,0.2818565400843882,0.09207589285714286,0.1221826809015421
42101026100,Census Tract 261; Philadelphia County; Pennsylvania,2880,1544,1480,870,610,2866,2086,780,1.94,2.4,1.28,58750.0,2880,152,2880,147,2687,0,0,1595,905,479,0,8,126,1480,281,2880,2149,488,570,238,12,8,1837,1595,242,2880,2880,2788,1480,1200.0,324400.0,0,0,9,33,92,0,154,98,25,31,55,47,29,12,39,114,107,36,50,37,305,386,582,64,0.9585492227979274,0.04145077720207254,0.5878378378378378,0.41216216216216217,14,0.004861111111111111,0.05277777777777778,0.18986486486486487
42101027901,Census Tract 279.01; Philadelphia County; Pennsylvania,2767,1609,1422,946,476,2753,1541,1212,1.94,1.63,2.55,28824.0,2767,907,2767,0,2545,0,222,1103,257,372,0,14,402,1422,544,2575,2054,693,236,234,0,0,1364,1103,261,2767,2767,2575,1422,987.0,133700.0,138,106,111,23,54,22,65,86,0,67,34,37,0,33,62,23,77,68,64,58,413,605,523,187,0.8837787445618397,0.11622125543816035,0.6652601969057665,0.33473980309423346,14,0.005059631369714492,0.3277918323093603,0.38255977496483823
42101029400,Census Tract 294; Philadelphia County; Pennsylvania,3402,1363,1243,544,699,3344,1431,1913,2.69,2.63,2.74,36025.0,3402,1130,3402,569,931,78,1735,1402,364,391,0,209,269,1243,324,3299,2049,791,89,120,0,0,1611,1420,191,3402,3402,3111,1243,1124.0,98700.0,113,187,176,102,178,252,0,65,9,24,141,12,44,0,0,0,19,11,68,0,803,1073,328,120,0.9119589141599413,0.0880410858400587,0.43765084473049076,0.5623491552695092,58,0.017048794826572605,0.3321575543797766,0.2606596942880129
42101031000,Census Tract 310; Philadelphia County; Pennsylvania,7377,2348,2125,1248,877,7364,3496,3868,3.47,2.8,4.41,75434.0,7240,1475,7377,1628,1354,1660,2495,3419,1532,337,0,39,251,2125,244,6911,4120,1125,700,180,0,47,3810,3567,243,7377,7377,6824,2125,1832.0,271400.0,316,214,289,278,237,376,371,474,114,34,41,18,29,146,13,66,109,183,31,14,2200,2555,798,223,0.9050255536626917,0.09497444633730835,0.5872941176470589,0.4127058823529412,13,0.0017622339704486919,0.2037292817679558,0.1148235294117647
42101032500,Census Tract 325; Philadelphia County; Pennsylvania,5598,2700,2501,1642,859,5574,4224,1350,2.23,2.57,1.57,54138.0,5572,925,5598,2589,1076,546,1276,2443,1781,136,0,23,439,2501,200,5413,4171,1034,388,143,0,0,2899,2455,444,5598,5598,5330,2501,1121.0,197400.0,185,34,327,232,83,107,267,14,242,137,348,65,12,0,5,303,55,114,46,17,969,1249,1344,199,0.9262962962962963,0.0737037037037037,0.6565373850459816,0.3434626149540184,24,0.004287245444801715,0.16600861450107682,0.07996801279488205
42101034600,Census Tract 346; Philadelphia County; Pennsylvania,2691,1426,1384,468,916,2688,1070,1618,1.94,2.29,1.77,66865.0,2663,138,2691,1143,680,314,381,1355,893,29,0,53,112,1384,141,2609,2012,608,440,184,0,32,1464,1374,90,2691,2691,2537,1384,1383.0,246200.0,61,45,0,131,93,35,59,38,17,67,52,34,11,34,57,28,123,170,58,0,338,462,651,42,0.97054698457223,0.029453015427769985,0.33815028901734107,0.661849710982659,3,0.0011148272017837235,0.05182125422455877,0.101878612716763
42101034802,Census Tract 348.02; Philadelphia County; Pennsylvania,5869,2551,2473,1319,1154,5834,3663,2171,2.36,2.78,1.88,70788.0,5784,354,5869,3334,747,390,1300,2684,1719,44,0,0,497,2473,195,5714,4153,1166,474,250,143,0,3033,2907,126,5869,5869,5640,2473,1370.0,317500.0,93,160,497,134,136,55,372,81,106,103,142,42,27,10,70,39,131,25,48,73,1263,1528,816,78,0.9694237553900431,0.03057624460995688,0.5333602911443591,0.46663970885564093,35,0.00596353722951099,0.061203319502074686,0.07885159725030327
42101035900,Census Tract 359; Philadelphia County; Pennsylvania,4640,2228,2157,1410,747,4635,3733,902,2.15,2.65,1.21,42269.0,4640,560,4640,2967,81,1359,0,1658,1108,17,0,39,247,2157,442,4463,3727,971,603,448,42,117,1778,1695,83,4640,4640,4261,2157,568.0,342000.0,239,234,67,17,140,85,71,21,79,75,57,96,0,99,60,82,220,366,139,166,495,874,1439,71,0.968132854578097,0.031867145421903054,0.6536856745479833,0.3463143254520167,5,0.0010775862068965517,0.1206896551724138,0.2049142327306444
42101017602,Census Tract 176.02; Philadelphia County; Pennsylvania,3370,1395,1190,501,689,3273,1217,2056,2.75,2.43,2.98,32744.0,3285,1456,3370,49,544,311,2361,953,435,175,0,101,235,1190,589,3197,2013,531,192,18,0,0,1141,953,188,3370,3370,3141,1190,1028.0,79100.0,124,238,121,119,105,129,44,132,0,0,0,0,0,0,56,70,18,0,32,0,709,1012,176,205,0.8530465949820788,0.14695340501792115,0.42100840336134454,0.5789915966386555,97,0.028783382789317507,0.44322678843226787,0.49495798319327733
42101980500,Census Tract 9805; Philadelphia County; Pennsylvania,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,
42101010300,Census Tract 103; Philadelphia County; Pennsylvania,2104,1377,1069,579,490,2104,935,1169,1.97,1.61,2.39,35008.0,2104,738,2104,0,2046,0,58,889,337,303,0,43,177,1069,478,2050,1517,656,94,29,0,0,1121,889,232,2104,2104,1963,1069,886.0,113600.0,54,51,38,82,87,65,134,0,9,25,21,70,11,0,45,87,114,10,28,24,382,511,444,308,0.7763253449527959,0.22367465504720407,0.5416276894293732,0.4583723105706268,0,0.0,0.35076045627376423,0.4471468662301216
